Year,GEO_ID,UrbanCode,UrbanName,UrbanTypeDescription,UrbanTypeCode,TotalPopulationEstimate
2019,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8444
2019,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,10457
2019,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,11212
2019,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,154302
2019,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,19599
2019,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,6745
2019,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,9150
2019,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,6198
2019,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8705
2019,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,8611
2019,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,1016561
2019,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,33964
2019,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,194963
2019,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,72330
2019,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4910
2019,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7195
2019,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,101520
2019,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,5038
2019,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3709
2019,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3646
2019,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,7951
2019,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,6223
2019,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18580
2019,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,81242
2019,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4828
2019,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,47412
2019,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7271
2019,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,74445
2019,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,6926
2019,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,6827
2019,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6465
2019,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,7553
2019,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,93362
2019,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,43398
2019,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,67735
2019,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6392
